"","subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"39","d85f0aeb-6e22-4ad5-bf4f-60371da9b5d1","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",4
"40","d85f0aeb-6e22-4ad5-bf4f-60371da9b5d1","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","right","con",1,"medium","medium",5
"41","3ad7b91d-98ca-418b-9d20-ca5e7a4d9e64","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",1
"42","3ad7b91d-98ca-418b-9d20-ca5e7a4d9e64","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","ind",0,"medium","medium",2
"43","3ad7b91d-98ca-418b-9d20-ca5e7a4d9e64","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",3
"44","3ad7b91d-98ca-418b-9d20-ca5e7a4d9e64","count","high complexity, low function","sarel","img/stim_hclf_b.png","right","ind",0,"high","low",4
"45","3ad7b91d-98ca-418b-9d20-ca5e7a4d9e64","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",5
"46","04514da5-5414-48d1-8be6-85f5ea367051","count","low complexity, low function","zorp","img/stim_lclf_b.png","right","ind",0,"low","low",1
"47","04514da5-5414-48d1-8be6-85f5ea367051","count","high complexity, low function","toma","img/stim_hclf_a.png","right","ind",0,"high","low",2
"48","04514da5-5414-48d1-8be6-85f5ea367051","count","high complexity, high function","sarel","img/stim_hchf_a.png","right","ind",0,"high","high",3
"49","04514da5-5414-48d1-8be6-85f5ea367051","count","low complexity, high function","blicket","img/stim_lchf_b.png","right","ind",0,"low","high",4
"50","04514da5-5414-48d1-8be6-85f5ea367051","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"51","29a426fe-a086-44ad-95fc-0e4c08c11562","count","high complexity, high function","blicket","img/stim_hchf_b.png","left","ind",0,"high","high",1
"52","29a426fe-a086-44ad-95fc-0e4c08c11562","count","high complexity, low function","toma","img/stim_hclf_a.png","right","ind",0,"high","low",2
